"","id","question","desired_answer","student_answer","score_me","score_other","score_avg","feature","len_ratio"
"232",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","A data member is part of a C++ class or structure that stores data of a certain type... A local variable inside a member function is only available inside that function, and can be used to derive a desired outcome.",4,5,4.5,4.37734550028682,1.35294117647059
"233",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","A local variable can only be accessed within the scope of its declaration.",3,4,3.5,2.0211739847737,0.411764705882353
"234",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","Data members are the atributes of the function and can be used outside the function. Local variable can not be used outside the function and the value is lost after the function terminates.",4,5,4.5,2.2514027242089,1.05882352941176
"235",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","data members are permanent attributes of the class, local variables inside a member function are lost when the scope of the member function ends.",3,5,4,2.13383613908236,0.882352941176471
"236",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","data members are declared in a class definition but outside the bodies of a class's member-function definitions. Local variables are declared in a function definition's body",3,5,4,2.228900330062,0.941176470588235
"237",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","A data member is globally accessible, while a local variable is only accessible inside the member function.",4,5,4.5,2.40391699497889,0.588235294117647
"238",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","A variable inside a member function can only be accessed inside that member and a data member can be accessed throughought the program.",5,5,5,2.28806839108154,0.823529411764706
"239",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","Local variables are used only within the scope of its declaration",5,4,4.5,1.6921003065116,0.352941176470588
"240",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","A data member is a more general term describing all objects instantiated within a member function.  ""Local"" in local variables refers more to the scope of a variable, which may be located in anything from a control structure to a class.  Local variables whose scope are in a member function are the same as data members of member functions.",0,4,2,1.59734183544023,1.88235294117647
"241",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","A data member exists permanently in that program's memory as long as it's run.  A local variable inside a member function is temporal and only used to operate in the function and exists as long as the function is run.",2,5,3.5,1.78867110023061,1.23529411764706
"242",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","local variables can only be used within the function, where as data members can be set to public access and can be used throughout",5,5,5,2.28099704823523,0.882352941176471
"243",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","The local variable is lost once it exits the block of code, while the data member is not.",4,5,4.5,1.51585475515532,0.470588235294118
"244",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","Every member function can access and modify a data member. A local variable can only be used from the line of declaration to the next closing } before it is lost from memory.",4,5,4.5,2.18808430886248,1.05882352941176
"245",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","data member is accessible to all functions in the class, where local variable is only available to the member function and value is lost when function closes",5,5,5,2.27371906633186,0.823529411764706
"246",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","Data members are variables that are declared inside the class definition but outside of the bodies of the class member functions. Local variables can only be used within the function declaration.",4,5,4.5,2.85993026620802,1.11764705882353
"247",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","The data member can be accessed outside of the class, whereas the local variable cannot.",3,5,4,2.41942658347669,0.529411764705882
"248",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","Local variables cannot be used outside of that function body. When a function terminates the values of its local variables are lost. Where as data members are variables in a class definition, and they exist throughout the life of the object. ",5,5,5,2.16134647025805,1.23529411764706
"249",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","a local variable in a member function has to be static. a data member can change its value freely.",0,4,2,1.90695128024266,0.647058823529412
"250",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","a local variable is only useable within the function it is defined, whereas a data member is available to any method within its class",5,5,5,2.1177891938733,0.764705882352941
"251",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","Variable declared in a function defination's body cannot be used outside of that function.  Data members accessible only to member function of that class.",5,5,5,2.76425459907858,0.823529411764706
"252",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","data members   local variables are declared in a function definition’s body. they Cannot be used outside of that function body. When a function terminates, the values of its local variables are lost.   ",5,4,4.5,2.2290870830154,1.05882352941176
"253",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","local variable is only available in the function.",4,5,4.5,1.55780129270759,0.235294117647059
"254",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","local variables are accessed inside member functions only while data members   can be accessed throughout the class",4,5,4.5,2.75288339512561,0.705882352941177
"255",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","A data member is accessible anywhere in the class, while i local variable in a member function is only accessible in that particular function, and is freed after the function exits.",5,5,5,2.06080493101817,0.882352941176471
"256",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","a Data member is encapsulated within a class or object,  it is static and can be shared by all instances of that class.  however local variable's are only used from the function or block in which it is declared and not the whole class. other wise they would be called global variables. ",3,5,4,1.97771294182945,1.41176470588235
"287",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","The compiler creates a default constructor when we do not define one in our class file",5,5,5,3.54031200053269,0.615384615384615
"288",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","during compilation",2,5,3.5,2.11775050849048,0.0769230769230769
"289",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","When the class does not explicitly include a constructor.",5,5,5,2.19797532655575,0.307692307692308
"290",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","When no parameters are set is when a default constructor is used.",3,3,3,1.43626370261433,0.384615384615385
"291",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","When a class does not explicitly include a constructor.",5,5,5,2.19797532655575,0.307692307692308
"292",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","When there are no arguments passed.",1,2,1.5,0.151201070329652,0.153846153846154
"293",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","when there is not one already for a specific class",5,5,5,1.65045933067134,0.307692307692308
"294",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","When it the programs compiles",2,5,3.5,1.45880939324585,0.153846153846154
"295",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","when a constructor is not provided by the programmer of the class",5,5,5,2.25681619134236,0.307692307692308
"296",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","In any class that does not explicitly include a constructor.",5,5,5,2.19797532655575,0.307692307692308
"297",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","Before the main function of the code.",0,2,1,0.164526423176136,0.230769230769231
"298",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","whenevery you dont specifiy your own",5,5,5,0.211752853187689,0.230769230769231
"299",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","When non are provided",5,5,5,1.22717262522492,0.153846153846154
"300",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","C++ will create a default constructor when no other constructor is present.",5,5,5,3.71684776533134,0.538461538461538
"301",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","When no constructor was specified in the constructor's class, but the class is instantiated in a program.",5,5,5,1.56328995026814,0.538461538461538
"302",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","When no constructor exists when one is needed, a parameterless default constructor is declared.",5,5,5,1.7006080893143,0.615384615384615
"303",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","The Compiler creates this automatically for you, unless you specifically create one.",5,5,5,2.01714039060717,0.538461538461538
"304",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","In any class that doesn't explicitly include a constructor.",5,5,5,1.90019353266075,0.384615384615385
"305",2.4,"When does C++ create a default constructor?","If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","when no user-defined constructor exists",5,5,5,0.903107195560474,0.230769230769231
